3	S|nom|fr|num=2|flexion
3	S|nom|fr|num=3
3	S|nom|fr|num=3|flexion
3	S|nom|fr|num=4
3	S|nom|fr|num=4|flexion
3	S|nom|fr|num=5
3	S|nom|fr|num=6
3	S|nom|fr|num=7
3	S|nom|fr|num=8
3	S|nom|it
3	S|nom|la
3	S|nom|num=1|fr
3	S|nom|num=2|fr
3	S|nom|num=3|fr
3	S|nom|tsolyáni
4	S|noms vernaculaires
4	S|Notes
5	S|notes
3	S|onomatopée|fr
3	S|paronymes
4	S|paronymes
3	S|particule|fr
3	S|patronyme|fr
3	S|patronyme|fr|genre=m
3	S|phrase|fr
4	S|phrases
4	S|Phrases
3	S|phrases
3	S|postposition|fr
3	S|préfixe|fr
3	S|préfixe|fr|flexion
3	S|préfixe|fr|num-1
3	S|préfixe|fr|num=1
3	S|préfixe|fr|num=2
3	S|préfixe|fr|num=3
3	S|préfixe|fr|num=4
3	S|préfixe|fr|num=5
3	S|prénom|fr
3	S|prénom|fr|flexion
3	S|Prénom|fr|genre=f
3	S|prénom|fr|genre=f
3	S|prénom|fr|genre=f|num=1
3	S|prénom|fr|genre=f|num=2
3	S|prénom|fr|genre=f|num=3
3	S|prénom|fr|genre=m
3	S|prénom|fr|genre=m|num=1
3	S|prénom|fr|genre=m|num=2
3	S|prénom|fr|genre=m|num=3
3	S|prénom|fr|genre=m|num=4
3	S|prénom|fr|genre=m|num=5
3	S|prénom|fr|genre=mf
3	S|Prénom|fr|genre=mf
3	S|prénom|fr|genre=mf|num=1
3	S|prénom|fr|genre=mf|num=2
3	S|prénom|fr|num=1
3	S|prénom|fr|num=1|genre=f
3	S|prénom|fr|num=1|genre=m
3	S|prénom|fr|num=1|genre=mf
3	S|prénom|fr|num=2
3	S|prénom|fr|num=2|genre=f
3	S|prénom|fr|num=2|genre=m
3	S|prénom|fr|num=2|genre=mf
3	S|préposition|fr
3	S|préposition|fr|flexion
3	S|préposition|fr|locution=oui
3	S|préposition|fr|num=1
3	S|préposition|fr|num=2
3	S|pronom démonstratif|fr
3	S|pronom démonstratif|fr|flexion
3	S|pronom indéfini|fr
3	S|pronom indéfini|fr|flexion
3	S|pronom indéfini|fr|flexion|locution=oui
3	S|pronom indéfini|fr|loc=oui
3	S|pronom indéfini|fr|loc=oui|flexion
3	S|pronom indéfini|fr|locution=oui
3	S|pronom interrogatif|fr
3	S|pronom interrogatif|fr|flexion
3	S|pronom interrogatif|fr|locution=oui
3	S|pronom personnel|fr
3	S|pronom personnel|fr|flexion
3	S|pronom personnel|fr|num=1
3	S|pronom personnel|fr|num=2
3	S|pronom possessif|fr
3	S|pronom possessif|fr|flexion
3	S|pronom relatif|fr
3	S|pronom relatif|fr|flexion
3	S|pronom relatif|fr|loc=oui
3	S|pronom|fr
3	S|pronom|fr|flexion
3	S|pronom|fr|loc=oui|flexion
4	S|Prononciation
3	S|Prononciation
3	S|proverbe|fr
4	S|quasi-synonymes
4	S|Quasi-synonymes
3	S|quasi-synonymes
3	S|Références
4	S|références
3	S|références
4	S|Références
3	S|substantif|fr
3	S|suffixe|fr
3	S|suffixe|fr|flexion
3	S|suffixe|fr|num=1
3	S|suffixe|fr|num=2
3	S|suffixe|fr|num=3
3	S|suffixe|fr|num=4
3	S|symbole|fr
3	S|symbole|fr|num=1
3	S|symbole|fr|num=2
3	S|symbole|fr|num=3
3	S|Synonymes
6	S|synonymes
4	S|Synonymes
4	S|synonymes
5	S|synonymes
3	S|synonymes
4	S|trad-trier
4	S|traductions
4	S|Traductions
3	S|Traductions
4	S|transcriptions
4	S|translittérations
4	S|troponymes
3	S|var-ortho
4	S|variante typographique|fr
3	S|variante typographique|fr
3	S|variante typographique|fr|flexion
4	S|variantes
5	S|variantes
4	S|Variantes
4	S|variantes dialectales
4	S|variantes orthographiques
4	S|Variantes orthographiques
4	S|variantes orthographiques 
3	S|verbe|en
3	S|verbe|en|flexion
3	S|verbe|es|flexion
3	S|verbe|fr
3	S|verbe|fr|flexion
3	S|verbe|fr|flexion|locution=oui
3	S|verbe|fr|flexion|num=1
3	S|verbe|fr|flexion|num=2
3	S|verbe|fr|flexion|num=3
3	S|verbe|fr|locution=oui
3	S|verbe|fr|num-1
3	S|verbe|fr|num=1
3	S|verbe|fr|num=2
3	S|verbe|fr|num=3
3	S|verbe|fr|num=4
3	S|verbe|it|flexion
3	S|verbe|num=1|fr
3	S|verbe|num=2|fr
4	S|vidéos
4	S|vocabulaire
4	S|Vocabulaire
4	S|voir
3	S|voir
2	S|voir
3	S|Voir aussi
4	S|Voir aussi
3	S|voir aussi
4	S|voir aussi
4	vocabulaire
